comparison,baseline_mode,contender_mode,train_seed,baseline_mean,contender_mean,baseline_minus_contender,contender_relative_improvement_percent,paired_ci95_low,paired_ci95_high,contender_win_rate,test_size
original_vs_capacity,native_original,native_capacity_single_chain,1234,6.429762303733826,6.40175191822052,0.028010385513305664,0.4356364075393566,0.021318177781699504,0.034702593244911824,0.5366,10000
original_vs_capacity,native_original,native_capacity_single_chain,4321,6.431000649642944,6.387724152803421,0.04327649683952332,0.6729356626938874,0.03840311738556133,0.0481498762934853,0.5767,10000
original_vs_capacity,native_original,native_capacity_single_chain,2468,6.444314811134339,6.424919284915924,0.019395526218414307,0.30097111619847855,0.012008425819436492,0.02678262661739212,0.5152,10000
capacity_vs_full,native_capacity_single_chain,native_conditional_free,1234,6.40175191822052,6.100637643575668,0.3011142746448517,4.7036229846368665,0.2942937074235238,0.3079348418661796,0.8056,10000
capacity_vs_full,native_capacity_single_chain,native_conditional_free,4321,6.387724152803421,6.1098423369407655,0.27788181586265565,4.350247587643554,0.2711260995453907,0.2846375321799206,0.7861,10000
capacity_vs_full,native_capacity_single_chain,native_conditional_free,2468,6.424919284915924,6.097299335813522,0.3276199491024017,5.099207236292754,0.32092101546510565,0.3343188827396978,0.8323,10000
original_vs_full,native_original,native_conditional_free,1234,6.429762303733826,6.100637643575668,0.32912466015815733,5.118768697981755,0.32210743807925774,0.33614188223705693,0.8226,10000
original_vs_full,native_original,native_conditional_free,4321,6.431000649642944,6.1098423369407655,0.3211583127021789,4.993908882904707,0.3142151759389369,0.32810144946542097,0.8189,10000
original_vs_full,native_original,native_conditional_free,2468,6.444314811134339,6.097299335813522,0.34701547532081606,5.384831211554888,0.3401972970821008,0.35383365355953134,0.8448,10000
